year,quarter,entity_type,entity_name,registered_users,app_opens
2024,1,district,jaipur,7253881,0
2024,1,district,mumbai suburban,7055629,0
2024,1,district,hyderabad,5928930,0
2024,1,district,ahmadabad,5485010,0
2024,1,district,rangareddy,5149421,0
2024,1,district,north twenty four parganas,4570438,0
2024,1,district,surat,4569769,0
2024,1,pincode,201301,984239,0
2024,1,pincode,110059,829414,0
2024,1,pincode,560068,753700,0
2024,1,pincode,421302,743686,0
2024,1,pincode,122001,654633,0
2024,1,pincode,500072,650991,0
2024,1,pincode,110092,640499,0
2024,1,pincode,110086,583639,0
2024,1,pincode,121004,570844,0
2024,1,pincode,201009,548384,0
2024,4,district,bengaluru urban,18101416,0
2024,4,district,pune,12734314,0
2024,4,district,thane,7300941,0
2024,4,district,mumbai suburban,6875379,0
2024,4,district,rangareddy,5988320,0
2024,4,district,hyderabad,5916910,0
2024,4,district,ahmedabad,5702922,0
2024,4,district,chennai,5541760,0
2024,4,district,jaipur,5371681,0
2024,4,district,north twenty four parganas,5085095,0
2024,4,pincode,201301,964283,0
2024,4,pincode,421302,871910,0
2024,4,pincode,110059,826819,0
2024,4,pincode,500072,755978,0
2024,4,pincode,452001,709324,0
2024,4,pincode,410501,683435,0
2024,4,pincode,560068,663903,0
2024,4,pincode,121004,661818,0
2024,4,pincode,201009,660474,0
2024,4,pincode,110092,654020,0
2024,3,district,bengaluru urban,17566351,0
2024,3,district,pune,12392676,0
2024,3,district,thane,7103828,0
2024,3,district,mumbai suburban,6688601,0
2024,3,district,rangareddy,5769438,0
2024,3,district,hyderabad,5757304,0
2024,3,district,ahmedabad,5580316,0
2024,3,district,chennai,5387490,0
2024,3,district,jaipur,5219354,0
2024,3,district,surat,4957655,0
2024,3,pincode,201301,899384,0
2024,3,pincode,421302,844375,0
2024,3,pincode,110059,808649,0
2024,3,pincode,500072,733364,0
2024,3,pincode,452001,686231,0
2024,3,pincode,410501,663831,0
2024,3,pincode,121004,646607,0
2024,3,pincode,201009,646266,0
2024,3,pincode,560068,645173,0
2024,3,pincode,110092,639422,0
2024,2,district,bengaluru urban,18127475,0
2024,2,district,pune,11964579,0
2024,2,district,thane,7591749,0
2024,2,district,jaipur,7522194,0
2024,2,district,mumbai suburban,7325715,0
2024,2,district,hyderabad,6138190,0
2024,2,district,ahmadabad,5693015,0
2024,2,district,rangareddy,5331711,0
2024,2,district,surat,4747919,0
2024,2,district,north twenty four parganas,4746814,0
2024,2,pincode,201301,1021560,0
2024,2,pincode,110059,860657,0
2024,2,pincode,560068,780422,0
2024,2,pincode,421302,772632,0
2024,2,pincode,122001,679107,0
2024,2,pincode,500072,673094,0
2024,2,pincode,110092,664004,0
2024,2,pincode,110086,606637,0
2024,2,pincode,121004,593014,0
2024,2,pincode,201009,569781,0
2023,4,district,bengaluru urban,16895567,0
2023,4,district,pune,11135186,0
2023,4,district,thane,7044610,0
2023,4,district,jaipur,6983265,0
2023,4,district,mumbai suburban,6796218,0
2023,4,district,hyderabad,5720710,0
2023,4,district,ahmadabad,5282400,0
2023,4,district,rangareddy,4964411,0
2023,4,district,north twenty four parganas,4396190,0
2023,4,district,surat,4396038,0
2023,4,pincode,201301,948041,0
2023,4,pincode,110059,798856,0
2023,4,pincode,560068,727330,0
2023,4,pincode,421302,714635,0
2023,4,pincode,122001,630836,0
2023,4,pincode,500072,628306,0
2023,4,pincode,110092,617934,0
2023,4,pincode,110086,561319,0
2023,4,pincode,121004,549020,0
2023,4,pincode,201009,527630,0
2023,1,district,bengaluru urban,15290372,0
2023,1,district,pune,10037022,0
2023,1,district,thane,6314618,0
2023,1,district,jaipur,6247095,0
2023,1,district,mumbai suburban,6095695,0
2023,1,district,hyderabad,5176899,0
2023,1,district,ahmadabad,4734630,0
2023,1,district,rangareddy,4483193,0
2023,1,district,north twenty four parganas,3926974,0
2023,1,district,surat,3919829,0
2023,1,pincode,201301,851451,0
2023,1,pincode,110059,716856,0
2023,1,pincode,560068,658173,0
2023,1,pincode,421302,636458,0
2023,1,pincode,500072,570652,0
2023,1,pincode,122001,566889,0
2023,1,pincode,110092,557488,0
2023,1,pincode,110086,500213,0
2023,1,pincode,121004,490243,0
2023,1,pincode,201009,472156,0
2023,3,district,bengaluru urban,16382332,0
2023,3,district,pune,10780092,0
2023,3,district,thane,6802106,0
2023,3,district,jaipur,6745507,0
2023,3,district,mumbai suburban,6560867,0
2023,3,district,hyderabad,5543537,0
2023,3,district,ahmadabad,5105557,0
2023,3,district,rangareddy,4809474,0
2023,3,district,north twenty four parganas,4241525,0
2023,3,district,surat,4238878,0
2023,3,pincode,201301,916333,0
